City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Wind Speed
gola bazar,IN,0.0,1580000275,88,26.34,83.36,48.56,48.56,3.94
gaoyou,CN,100.0,1580000276,83,32.79,119.43,46,39,1.99
coihueco,CL,0.0,1580000276,37,-36.62,-71.83,84.2,84.2,13.87
lanzhot,CZ,90.0,1580000277,100,48.72,16.97,32,28,2.42
sasolburg,ZA,17.0,1580000277,81,-26.81,27.82,61.92,61.92,7.58
teya,RU,88.0,1580000278,82,60.38,92.63,14.25,14.25,14.07
inongo,CD,60.0,1580000278,44,-1.95,18.27,72.05,72.05,0.49
zachary,US,1.0,1580000279,44,30.65,-91.16,57.2,51.01,1.83
kamaishi,JP,75.0,1580000279,73,39.27,141.88,24.8,24.8,4.7
progreso,MX,40.0,1580000039,61,21.28,-89.67,77,75,11.41
verkhniy baskunchak,RU,100.0,1580000280,89,48.23,46.72,34.5,34.5,19.91
north bend,US,90.0,1580000280,100,43.41,-124.22,55.99,52,3.36
dera ghazi khan,PK,0.0,1580000281,45,30.06,70.63,56.48,56.48,9.8
coron,PH,42.0,1580000281,74,12,120.2,80.24,80.24,1.25
tiznit,MA,10.0,1580000282,94,29.58,-9.5,47.17,47.17,2.77
mudanya,TR,27.0,1580000282,92,40.38,28.88,48.2,24.8,1.86
forio,IT,80.0,1580000282,93,40.73,13.86,55.4,41,2.24
salamiyah,SY,0.0,1580000283,61,35.01,37.05,38.44,38.44,9.22
sagua de tanamo,CU,9.0,1580000283,94,20.58,-75.24,61.81,61.81,1.45
grootfontein,NA,100.0,1580000284,46,-19.57,18.12,72,72,4.97
pangnirtung,CA,100.0,1580000285,99,66.15,-65.71,-36.94,-36.94,1.45
kantemirovka,RU,100.0,1580000285,91,49.71,39.86,31.37,31.37,16.98
chimore,BO,68.0,1580000286,81,-16.98,-65.13,79.32,79.32,2.33
baghdad,IQ,0.0,1580000287,81,33.34,44.4,44.6,44.6,9.17
parfenyevo,RU,100.0,1580000287,86,58.48,43.41,20.62,20.62,11.74
yining,CN,100.0,1580000288,97,29.04,114.56,39.94,39.94,1.43
saint-augustin,CA,48.0,1580000050,79,51.23,-58.65,15.22,15.22,10.4
mount darwin,ZW,7.0,1580000289,98,-16.77,31.58,63.41,63.41,2.06
padang,ID,89.0,1580000289,97,-0.95,100.35,69.82,69.82,2.55
waingapu,ID,49.0,1580000290,78,-9.66,120.26,83.17,83.17,7.11
miraflores,CO,65.0,1580000291,65,1.34,-71.95,80.55,80.55,1.86
rumonge,BI,100.0,1580000291,84,-3.97,29.44,68.99,68.99,2.62
santa cruz de tenerife,ES,75.0,1580000086,87,28.47,-16.25,62.6,51.8,4.7
touros,BR,75.0,1580000084,83,-5.2,-35.46,82.4,82.4,5.82
ola,RU,100.0,1580000292,89,59.58,151.28,-6.39,-6.39,14.09
jalingo,NG,36.0,1580000293,13,8.88,11.37,67.3,67.3,6.42
denpasar,ID,20.0,1580000247,74,-8.65,115.22,86,86,4.7
manutuke,NZ,48.0,1580000293,71,-38.68,177.92,78.01,78.01,5.01
seymchan,RU,100.0,1580000294,95,62.88,152.43,-26.39,-26.39,9.13
urusha,RU,5.0,1580000294,96,54.05,122.9,-23.44,-23.44,0.96
quelimane,MZ,43.0,1580000104,88,-17.88,36.89,72.9,72.9,3.49
vung tau,VN,64.0,1580000120,88,10.35,107.08,74.59,74.59,6.96
te anau,NZ,90.0,1580000295,81,-45.42,167.72,61.43,61.43,7.16
cochabamba,BO,12.0,1580000296,28,-17.39,-66.16,73.4,73.4,13.87
staunton,US,1.0,1580000296,64,38.15,-79.07,43,33.8,9.17
mogoytuy,RU,53.0,1580000297,94,51.28,114.92,-9.11,-9.11,2.42
constanza,DO,75.0,1580000132,88,18.91,-70.75,75.2,55.99,3.02
acajutla,SV,0.0,1580000298,79,13.59,-89.83,75,75,6.13
chumphon,TH,100.0,1580000298,100,10.33,98.83,68,68,0.49
rawson,AR,1.0,1580000299,37,-43.3,-65.1,76.19,76.19,18.25
aksu,CN,56.0,1580000253,75,41.12,80.26,22.28,22.28,1.72
novocheremshansk,RU,73.0,1580000299,97,54.36,50.17,19.89,19.89,2.04
murgab,TM,90.0,1580000300,92,37.5,61.97,30.2,30.2,5.68
rabat,MA,75.0,1580000300,93,33.99,-6.84,53.01,50,8.05
beira,MZ,11.0,1580000301,69,-19.84,34.84,80.89,80.89,3.96
ust-nera,RU,80.0,1580000301,97,64.57,143.2,-39.77,-39.77,2.84
nyurba,RU,96.0,1580000241,98,63.28,118.33,-19.66,-19.66,6.11
sept-iles,CA,75.0,1580000301,72,50.2,-66.38,17.01,14,3.36
dolinsk,RU,40.0,1580000303,76,47.35,142.8,-4,-4,2.24
kampene,CD,93.0,1580000303,79,-3.6,26.67,73,73,1.9
maiduguri,NG,13.0,1580000304,46,11.85,13.16,61.57,61.57,9.71
port hardy,CA,75.0,1580000304,81,50.7,-127.42,48.2,48.2,16.11
wilmington,US,1.0,1580000305,66,34.23,-77.94,51.8,46,6.93
clyde river,CA,1.0,1580000287,67,70.47,-68.59,-23.8,-23.8,5.82
loding,NO,100.0,1580000306,85,67.3,14.75,28.99,28,4
krasnyy yar,RU,90.0,1580000307,69,46.53,48.35,39.2,39,26.84
tazovskiy,RU,87.0,1580000307,97,67.47,78.7,-5.01,-5.01,5.46
robertsport,LR,0.0,1580000308,83,6.75,-11.37,81.18,81.18,8.48
marystown,CA,0.0,1580000308,72,47.17,-55.15,26.35,26.35,12.66
okhotsk,RU,55.0,1580000052,71,59.38,143.3,-20.92,-20.92,14.41
yerbogachen,RU,100.0,1580000309,91,61.28,108.01,25.9,25.9,16.11
baruun-urt,MN,0.0,1580000088,82,46.68,113.28,8.06,8.06,11.1
itarema,BR,100.0,1580000310,93,-2.92,-39.92,78.12,78.12,5.48
ceska ves,CZ,76.0,1580000311,71,50.26,17.23,28.99,23,1.01
fairview,CA,40.0,1580000311,92,56.07,-118.39,23,23,3.36
uvira,CD,100.0,1580000312,93,-3.41,29.15,54.86,54.86,1.97
solnechnyy,RU,58.0,1580000232,84,50.72,136.63,-9.2,-9.2,1.16
nijar,ES,20.0,1580000312,93,36.97,-2.21,51.01,44.01,2.24
san policarpo,PH,6.0,1580000313,86,12.18,125.51,80.02,80.02,9.42
sokol,RU,93.0,1580000314,88,59.46,40.12,20.55,20.55,11.27
allapalli,IN,89.0,1580000314,75,19.42,80.07,63.84,63.84,2.42
benjamin hill,MX,2.0,1580000314,38,30.17,-111.1,71.01,69.01,1.99
gamba,GA,29.0,1580000018,86,-2.65,10,78.42,78.42,4.65
road town,VG,1.0,1580000166,78,18.42,-64.62,77,75.99,4.7
machico,PT,20.0,1580000316,72,32.7,-16.77,59,53.01,4.7
tabas,IR,0.0,1580000316,56,33.6,56.92,37.4,37.4,2.24
banyo,CM,84.0,1580000316,22,6.75,11.82,58.68,58.68,3.69
capoterra,IT,90.0,1580000317,100,39.18,8.97,53.6,42.8,5.82
port augusta,AU,75.0,1580000317,68,-32.5,137.77,86,71.6,11.41
le port,RE,75.0,1580000318,88,-20.94,55.29,73.4,63,6.93
bud,NO,100.0,1580000318,87,62.91,6.91,46.99,39.99,18.34
bolshaya glushitsa,RU,100.0,1580000319,87,50.24,43.59,36,36,15.99
of,TR,40.0,1580000319,60,40.94,40.27,39.2,39.2,2.24
gombong,ID,28.0,1580000319,86,-7.61,109.51,77.29,77.29,1.79
kabare,CD,100.0,1580000320,92,-2.47,28.82,62.2,62.2,1.03
berlevag,NO,100.0,1580000042,76,70.86,29.09,23.04,23.04,28.45
antalaha,MG,100.0,1580000321,79,-14.9,50.28,80.38,80.38,15.37
mazagao,BR,75.0,1580000322,94,-0.12,-51.29,84.2,84.2,5.82
hasaki,JP,75.0,1580000322,93,35.73,140.83,41,37.99,4.7
umm kaddadah,SD,11.0,1580000322,26,13.6,26.69,54.14,54.14,13.87
morros,BR,96.0,1580000323,84,-9.45,-46.3,76.08,76.08,4.9
tigil,RU,100.0,1580000323,78,57.8,158.67,27.64,27.64,19.35
sabadell,ES,93.0,1580000093,100,41.54,2.11,54,39.99,4.7
medford,US,90.0,1580000324,93,42.33,-122.88,51.01,48,1.52
camacha,PT,20.0,1580000324,77,33.08,-16.33,59,59,9.17
komsomolskiy,RU,35.0,1580000325,74,43.98,46.7,34.81,34.81,7.43
seltso,RU,72.0,1580000325,87,53.37,34.1,30.36,30.36,9.53
burnie,AU,100.0,1580000039,71,-41.07,145.92,69.01,69.01,5.99
tabuk,SA,0.0,1580000326,40,28.38,36.58,37.4,37.4,10.29
fortuna,US,90.0,1580000327,93,40.6,-124.16,59,55.99,5.82
cap malheureux,MU,40.0,1580000327,78,-19.98,57.61,77,73.99,12.75
bestobe,KZ,90.0,1580000327,83,52.5,73.1,9.05,9.05,23.62
port hedland,AU,0.0,1580000088,39,-20.32,118.57,96.8,96.8,10.29
oriximina,BR,60.0,1580000121,64,-1.77,-55.87,84.6,84.6,2.46
pemangkat,ID,97.0,1580000328,89,1.17,108.97,77.56,77.56,4.21
san matias,BO,76.0,1580000329,57,-16.37,-58.4,82.92,82.92,3.2
springbok,ZA,60.0,1580000329,84,-29.66,17.89,58.93,58.93,16.55
almaznyy,RU,75.0,1580000091,80,48.04,40.05,35.6,35.6,13.42
gimli,CA,95.0,1580000330,90,50.63,-96.99,23,19.99,5.01
pedasi,PA,79.0,1580000330,75,7.53,-80.03,80.56,80.56,20.24
do gonbadan,IR,75.0,1580000331,93,30.36,50.8,46.4,46.4,3.36
rabo de peixe,PT,40.0,1580000331,87,37.8,-25.58,57.2,57.2,4.7
hammerfest,NO,100.0,1580000332,73,70.66,23.68,19.4,19.4,28.86
flin flon,CA,90.0,1580000233,85,54.77,-101.86,17.6,17.6,5.82
alugan,PH,6.0,1580000332,86,12.22,125.48,80.02,80.02,9.42
muli,MV,100.0,1580000333,79,2.92,73.57,81.28,81.28,13.38
warrnambool,AU,44.0,1580000333,69,-38.38,142.48,66.99,66.99,15.12
livingstonia,MW,94.0,1580000334,91,-10.61,34.11,58.26,58.26,2.26
carire,BR,100.0,1580000335,82,-3.95,-40.47,78.37,78.37,2.35
scarborough,TT,20.0,1580000335,83,11.18,-60.73,77,77,3.36
clonakilty,IE,75.0,1580000336,93,51.62,-8.87,48.2,48,21.92
anloga,GH,79.0,1580000337,78,5.79,0.9,71.6,71.6,2.24
datong,CN,0.0,1580000337,76,40.09,113.29,11.73,11.73,1.19
paramonga,PE,95.0,1580000338,86,-10.67,-77.83,72.59,72.59,11.01
edson,CA,1.0,1580000245,91,53.58,-116.44,32,32,3.36
deep river,CA,90.0,1580000339,98,46.1,-77.5,33.01,30.99,2.24
luanda,AO,20.0,1580000249,78,-8.84,13.23,80.6,80.6,4.7
correntina,BR,100.0,1580000142,92,-13.34,-44.64,70.81,70.81,2.59
asyut,EG,0.0,1580000340,87,27.18,31.18,42.8,42.8,11.41
nenjiang,CN,0.0,1580000340,81,49.18,125.22,-2.56,-2.56,7.07
saryozek,KZ,100.0,1580000250,98,44.36,77.98,28.38,28.38,6.29
olga,RU,0.0,1580000341,47,43.74,135.29,19.92,19.92,11.27
kutum,SD,0.0,1580000078,33,14.2,24.67,43.41,43.41,5.86
chapleau,CA,90.0,1580000342,100,47.84,-83.4,30.2,30.2,2.24
carbonia,IT,90.0,1580000342,100,39.17,8.52,50,42.8,5.82
lichuan,CN,96.0,1580000343,96,30.3,108.85,31.87,31.87,1.43
fenyi,CN,100.0,1580000343,96,27.81,114.67,43.12,43.12,1.25
lannion,FR,75.0,1580000344,93,48.75,-3.42,46.4,44.6,5.82
san blas,MX,90.0,1580000344,82,21.52,-105.27,66.2,66.2,6.93
barranca,PE,65.0,1580000345,92,-10.75,-77.77,72.59,72.59,12.59
teknaf,BD,0.0,1580000345,78,20.86,92.31,48.9,48.9,1.83
guadalupe victoria,MX,5.0,1580000345,22,32.29,-115.11,77,73,5.82
bar harbor,US,90.0,1580000251,80,44.39,-68.2,37.99,33.01,10.29
bubaque,GW,93.0,1580000084,73,11.28,-15.83,78.28,78.28,11.81
kodinsk,RU,92.0,1580000347,80,58.69,99.18,21.29,21.29,14.12
alken,BE,53.0,1580000347,100,50.88,5.31,37,33.01,3.36
port said,EG,40.0,1580000347,71,31.26,32.28,55.4,55.4,4.7
xuddur,SO,100.0,1580000076,67,4.12,43.89,76.68,76.68,15.75
paamiut,GL,76.0,1580000348,62,61.99,-49.67,18.28,18.28,22.77
vershino-darasunskiy,RU,39.0,1580000349,92,52.35,115.52,-4.29,-4.29,0.78
kobayashi,JP,75.0,1580000349,81,31.98,130.98,51.8,48.2,5.82
el vigia,VE,64.0,1580000349,91,8.62,-71.65,66.47,66.47,1.16
ilulissat,GL,89.0,1580000350,46,69.22,-51.1,8.6,8.6,14.99
aitape,PG,31.0,1580000239,81,-3.14,142.35,82.74,82.74,9.42
gao,ML,54.0,1580000351,8,16.64,1.64,72.25,72.25,11.01
mountain home,US,90.0,1580000351,100,43.13,-115.69,44.01,42.01,4.7
fare,PF,40.0,1580000281,73,-16.7,-151.02,82.81,82.81,10.83
laguna,BR,32.0,1580000341,91,-28.48,-48.78,64.45,64.45,1.74
yarmouth,CA,90.0,1580000318,92,43.83,-66.12,35.01,33.01,18.34
kurbnesh,AL,90.0,1580000353,93,41.78,20.08,48.2,48.2,3.36
ambanja,MG,98.0,1580000353,84,-13.68,48.45,78.03,78.03,0.76
eten,PE,54.0,1580000353,29,-6.91,-79.86,66.2,66.2,17.22
lufilufi,WS,80.0,1580000354,79,-13.87,-171.6,81.18,81.18,3.15
mahanje,TZ,100.0,1580000354,96,-9.93,35.33,66.45,66.45,1.81
arawa,PG,12.0,1580000355,67,-6.21,155.54,84.78,84.78,5.1
yanam,IN,72.0,1580000355,88,16.73,82.22,73.4,73.4,5.82
nome,US,1.0,1580000356,82,64.5,-165.41,-16.6,-16.6,8.52
enid,US,90.0,1580000357,76,36.4,-97.88,50,45,3.36
rancho palos verdes,US,40.0,1580000357,93,33.74,-118.39,71.01,55.99,13.87
beni suef,EG,0.0,1580000357,73,29.07,31.1,41.76,41.76,5.1
west bay,KY,20.0,1580000358,73,19.37,-81.42,77,75,3.36
erzin,RU,61.0,1580000358,77,50.26,95.16,-7.73,-7.73,1.52
sangar,RU,3.0,1580000193,92,63.92,127.47,-40.9,-40.9,4.25
golden gate,US,1.0,1580000359,63,26.19,-81.7,64.4,57.99,4.7
ixtapa,MX,90.0,1580000360,100,20.7,-105.2,71.01,69.8,3.36
fukue,JP,75.0,1580000360,76,32.69,128.84,51.8,51.8,20.8
komatipoort,ZA,0.0,1580000360,92,-25.43,31.95,70,70,0.78
esperantinopolis,BR,100.0,1580000361,81,-4.87,-44.71,79.34,79.34,1.34
laurel,US,75.0,1580000361,86,39.1,-76.85,46.4,37,7.65
verkhnevilyuysk,RU,94.0,1580000361,95,63.45,120.32,-21.87,-21.87,7.56
eskil,TR,0.0,1580000363,53,38.4,33.41,31.84,31.84,7.2
waddan,LY,54.0,1580000363,28,29.16,16.14,57.78,57.78,6.69
nemuro,JP,20.0,1580000363,52,43.32,145.57,15.8,15.8,2.24
krasnyy chikoy,RU,0.0,1580000364,84,50.36,108.75,0.27,0.27,1.39
ha giang,VN,71.0,1580000364,85,22.83,104.98,44.74,44.74,3.51
tateyama,JP,75.0,1580000365,86,34.98,139.87,39.99,37,4.7
khash,IR,0.0,1580000365,74,28.22,61.22,43.75,43.75,3.94
strezhevoy,RU,88.0,1580000366,84,60.73,77.59,-2.2,-2.2,4.47
